isotope_id,m1,m2,m3,r,parity,N_cdsd,n_outliers_cdsd,E0_cdsd,B_v_cdsd,D_v_cdsd,rmse_cdsd,source_cdsd,N_gnn,n_outliers_gnn,E0_gnn,B_v_gnn,D_v_gnn,rmse_gnn,source_gnn,delta_bv
626.0,0,0,0,1,0,12,5,0.0002844245355408753,0.3902201348280458,1.3336707200884665e-07,1.7195692625000067e-08,CDSD,5,0,0.018222672063017545,0.39021525140219626,1.3292816421091348e-07,1.7823928151552863e-05,GNN,4.883425849533385e-06
626.0,1,0,0,1,0,13,0,1388.1672195069073,0.39019772459898977,1.1662895136741241e-07,2.408603083278516e-06,CDSD,11,0,1388.1702626958133,0.3901963453911469,1.1640002496999774e-07,1.0687053955574254e-06,GNN,1.3792078428775945e-06
626.0,1,1,0,2,0,14,0,1932.469308488669,0.39074569655393654,1.4938346527414428e-07,2.4982016650640136e-07,CDSD,9,0,1932.469093843941,0.39074578883379807,1.493980586231366e-07,1.1825827873853769e-07,GNN,9.22798615299314e-08
626.0,1,1,0,2,1,17,0,1932.4677578162214,0.391691992940238,1.5645409377651925e-07,3.0546887716354665e-07,CDSD,12,0,1932.4679021712327,0.3916919137872578,1.564381295106764e-07,2.3784091495724477e-07,GNN,7.915298017024952e-08
626.0,2,1,0,3,0,17,0,3181.4621887387425,0.39102325839101215,1.6392815034355987e-07,1.1068872353608165e-06,CDSD,13,0,3181.461909750395,0.391023460742222,1.6398113217526045e-07,4.858016535441739e-07,GNN,2.0235120984368749e-07
626.0,2,1,0,3,1,30,0,3181.4612641025833,0.3923524098982052,1.7604816013348253e-07,2.9567295442176583e-06,CDSD,19,1,3181.4612651016237,0.3923523938940544,1.760374603729334e-07,1.2500420348578721e-06,GNN,1.6004150782400473e-08
626.0,4,1,0,1,1,38,11,6388.077872351285,0.39262575317440407,9.038906526705635e-08,0.0007437126205847585,CDSD,48,12,6388.079606029838,0.39261331718182924,7.688239775056771e-08,0.0011184468670570288,GNN,1.2435992574832966e-05
