state_id,energy,J,parity,m1_true,m2_true,m3_true,r_true
8747,15865.975949,3,f,3,1,5,2
10993,3245.331044,3,e,1,3,0,2
11000,4420.845926,3,e,3,1,0,4
11001,4471.853997,3,e,2,3,0,3
11002,4595.795365,3,e,3,1,0,3
11003,4681.496103,3,e,2,3,0,2
11004,4758.126336,3,e,3,1,0,2
11007,4894.783184,3,e,2,3,0,1
11008,4943.067655,3,e,3,1,0,1
11013,5643.221703,3,e,4,1,0,5
11014,5688.371113,3,e,3,3,0,4
11016,5907.426339,3,e,3,3,0,3
11017,6005.199658,3,e,4,1,0,3
11020,6123.202216,3,e,3,3,0,2
11021,6183.710314,3,e,4,1,0,2
11023,6293.158861,3,e,2,2,1,2
11024,6351.417985,3,e,3,3,0,1
11027,6479.199251,3,e,2,2,1,1
11030,6606.352989,3,e,0,3,2,1
11046,7621.30421,3,e,5,1,0,2
11067,8505.88791,3,e,4,2,1,5
11074,8847.056988,3,e,6,1,0,3
11076,8939.871677,3,e,3,1,2,4
11078,8986.159937,3,e,2,3,2,3
11082,9115.89986,3,e,3,1,2,3
11084,9192.647148,3,e,2,3,2,2
11086,9274.092411,3,e,3,1,2,2
11093,9399.291256,3,e,2,3,2,1
11095,9449.735775,3,e,3,1,2,1
11105,9868.999315,3,e,0,1,4,1
11108,9913.094451,3,e,5,2,1,5
11112,10117.534708,3,e,5,2,1,4
11115,10199.646195,3,e,6,0,1,4
11119,10318.485917,3,e,5,2,1,3
11120,10357.699794,3,e,6,0,1,3
11131,10596.904316,3,e,2,2,3,3
11137,10774.743484,3,e,5,2,1,1
11138,10780.689398,3,e,2,2,3,2
11139,10792.361914,3,e,6,0,1,1
11144,10850.536204,3,e,4,1,2,1
11147,10960.318968,3,e,2,2,3,1
11155,11188.499085,3,e,1,1,4,1
11183,11917.036717,3,e,4,0,3,4
11225,12711.711133,3,e,0,2,5,1
11289,13828.941839,3,e,2,0,5,3
11302,14024.28436,3,e,1,2,5,1
11375,15125.576087,3,e,3,0,5,3
11388,15243.858642,3,e,3,0,5,2
11396,15377.461656,3,e,3,0,5,1
14578,2679.56929,4,e,0,4,0,1
14582,3800.51607,4,e,3,0,0,4
14583,3829.857737,4,e,2,2,0,3
14584,3906.177309,4,e,1,4,0,2
14588,4130.1232,4,e,1,4,0,1
14595,5030.197717,4,e,4,0,0,5
14596,5055.1174,4,e,3,2,0,4
14597,5123.385346,4,e,2,4,0,3
14598,5205.054217,4,e,4,0,0,4
14599,5253.294846,4,e,3,2,0,3
14600,5337.420072,4,e,4,0,0,3
14601,5353.829901,4,e,2,4,0,2
14602,5445.02439,4,e,3,2,0,2
14605,5539.097254,4,e,1,3,1,2
14606,5587.998764,4,e,2,4,0,1
14608,5652.681179,4,e,3,2,0,1
14609,5675.468065,4,e,4,0,0,1
14614,6024.379774,4,e,1,0,2,1
14619,6480.860459,4,e,4,2,0,4
14620,6569.740869,4,e,3,4,0,3
14622,6678.363301,4,e,4,2,0,3
14624,6733.039557,4,e,5,0,0,3
14625,6744.565439,4,e,2,3,1,3
14626,6806.229772,4,e,3,4,0,2
14628,6882.910671,4,e,4,2,0,2
14629,6911.732427,4,e,5,0,0,2
14630,6952.494363,4,e,2,3,1,2
14632,7053.089351,4,e,3,4,0,1
14633,7109.975039,4,e,4,2,0,1
14634,7129.56263,4,e,5,0,0,1
14636,7162.303216,4,e,2,3,1,1
14639,7253.053133,4,e,0,4,2,1
14653,7940.037717,4,e,3,3,1,4
14665,8368.164184,4,e,2,2,2,3
14668,8438.007789,4,e,1,4,2,2
14678,8656.968226,4,e,1,4,2,1
14698,9354.207098,4,e,4,3,1,4
14705,9572.245256,4,e,4,3,1,3
14708,9650.290977,4,e,5,1,1,3
14709,9706.608676,4,e,4,0,2,4
14713,9794.899335,4,e,4,3,1,2
14716,9841.036074,4,e,4,0,2,3
14718,9845.478672,4,e,5,1,1,2
14722,9976.920629,4,e,4,0,2,2
14735,10157.878262,4,e,4,0,2,1
14737,10241.205809,4,e,1,3,3,1
14746,10490.020554,4,e,0,2,4,1
14753,10686.145429,4,e,6,1,1,5
14760,10863.28953,4,e,6,1,1,4
14774,11165.04319,4,e,3,1,3,4
14786,11341.924924,4,e,3,1,3,3
14789,11414.394229,4,e,2,3,3,2
14795,11498.334314,4,e,3,1,3,2
14807,11669.90874,4,e,3,1,3,1
14813,11756.982432,4,e,2,0,4,2
14827,12109.087777,4,e,0,1,5,1
14990,14407.457434,4,e,2,1,5,3
15009,14567.212267,4,e,2,1,5,2
15019,14713.76191,4,e,2,1,5,1
15125,15868.955492,4,e,3,1,5,2
19025,3189.308243,4,f,2,1,0,3
19031,4424.011513,4,f,3,1,0,4
19032,4474.998154,4,f,2,3,0,3
19034,4684.633597,4,f,2,3,0,2
19035,4761.273553,4,f,3,1,0,2
19037,4897.921116,4,f,2,3,0,1
19038,4946.226798,4,f,3,1,0,1
19039,4978.73009,4,f,0,4,1,1
19042,5646.398426,4,f,4,1,0,5
19043,5691.518577,4,f,3,3,0,4
19045,5910.564566,4,f,3,3,0,3
19046,6008.346496,4,f,4,1,0,3
19048,6126.33764,4,f,3,3,0,2
19049,6184.509839,4,f,1,4,1,2
19050,6186.866095,4,f,4,1,0,2
19051,6296.266567,4,f,2,2,1,2
19052,6354.555006,4,f,3,3,0,1
19053,6395.930868,4,f,4,1,0,1
19054,6405.834788,4,f,1,4,1,1
19057,6609.443941,4,f,0,3,2,1
19066,7380.853401,4,f,2,4,1,3
19070,7609.109379,4,f,2,4,1,2
19076,7839.667289,4,f,2,4,1,1
19088,8509.012021,4,f,4,2,1,5
19090,8568.483213,4,f,3,4,1,4
19094,8804.455201,4,f,3,4,1,3
19097,8942.991318,4,f,3,1,2,4
19098,8989.257975,4,f,2,3,2,3
19100,9037.779826,4,f,3,4,1,2
19103,9119.006495,4,f,3,1,2,3
19104,9195.73806,4,f,2,3,2,2
19106,9277.188112,4,f,3,1,2,2
19107,9280.162388,4,f,3,4,1,1
19112,9402.382683,4,f,2,3,2,1
19114,9452.840828,4,f,3,1,2,1
19116,9502.578885,4,f,0,4,3,1
19129,10120.631763,4,f,5,2,1,4
19136,10321.596212,4,f,5,2,1,3
19146,10599.974589,4,f,2,2,3,3
19148,10666.708479,4,f,1,4,3,2
19153,10777.863869,4,f,5,2,1,1
19154,10783.750932,4,f,2,2,3,2
19159,10883.556985,4,f,1,4,3,1
19162,10963.380159,4,f,2,2,3,1
19164,11051.249259,4,f,1,1,4,2
19169,11191.53927,4,f,1,1,4,1
19195,11958.143259,4,f,3,2,3,3
19205,12143.431308,4,f,3,2,3,2
19232,12714.723314,4,f,0,2,5,1
19294,13858.521179,4,f,1,2,5,2
19303,14027.295346,4,f,1,2,5,1
22417,2683.50006,5,f,0,4,0,1
22420,3833.781114,5,f,2,2,0,3
22421,3910.110863,5,f,1,4,0,2
